2026-07-07 15:51:15.753 [background-preinit] [] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-07-07 15:51:15.871 [restartedMain] [] INFO  n.l.backend.BackendApplication - Starting BackendApplication using Java 21.0.11 with PID 16156 (C:\Users\user\Desktop\backend\backend\out\production\classes started by user in C:\Users\user\Desktop\backend\backend)
2026-07-07 15:51:15.871 [restartedMain] [] DEBUG n.l.backend.BackendApplication - Running with Spring Boot v3.5.14, Spring v6.2.18
2026-07-07 15:51:15.876 [restartedMain] [] INFO  n.l.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-07 15:51:16.007 [restartedMain] [] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2026-07-07 15:51:16.019 [restartedMain] [] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2026-07-07 15:51:19.628 [restartedMain] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-07 15:51:19.663 [restartedMain] [] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-07 15:51:19.668 [restartedMain] [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-07 15:51:19.668 [restartedMain] [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-07-07 15:51:19.819 [restartedMain] [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-07 15:51:19.819 [restartedMain] [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3800 ms
2026-07-07 15:51:20.032 [restartedMain] [] DEBUG n.l.b.global.filter.LoggingFilter - Filter 'loggingFilter' configured for use
2026-07-07 15:51:22.547 [restartedMain] [] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-07-07 15:51:22.598 [restartedMain] [] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-07-07 15:51:22.672 [restartedMain] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-07 15:51:22.704 [restartedMain] [] INFO  n.l.backend.BackendApplication - Started BackendApplication in 7.833 seconds (process running for 8.914)
2026-07-07 15:51:22.944 [http-nio-8080-exec-2] [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-07 15:51:22.944 [http-nio-8080-exec-2] [] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-07 15:51:22.944 [http-nio-8080-exec-2] [] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-07-07 15:51:22.961 [http-nio-8080-exec-2] [93af9f53] INFO  n.l.b.global.filter.LoggingFilter - [요청] GET /swagger-ui/index.html
2026-07-07 15:51:23.093 [http-nio-8080-exec-2] [93af9f53] INFO  n.l.b.global.filter.LoggingFilter - [응답] GET /swagger-ui/index.html 304 (132ms)
2026-07-07 15:51:23.124 [http-nio-8080-exec-1] [42acc7b9] INFO  n.l.b.global.filter.LoggingFilter - [요청] GET /swagger-ui/swagger-initializer.js
2026-07-07 15:51:23.298 [http-nio-8080-exec-1] [42acc7b9] INFO  n.l.b.global.filter.LoggingFilter - [응답] GET /swagger-ui/swagger-initializer.js 200 (174ms)
2026-07-07 15:51:23.581 [http-nio-8080-exec-3] [f0f5c78b] INFO  n.l.b.global.filter.LoggingFilter - [요청] GET /api-docs/swagger-config
2026-07-07 15:51:23.788 [http-nio-8080-exec-3] [f0f5c78b] INFO  n.l.b.global.filter.LoggingFilter - [응답] GET /api-docs/swagger-config 200 (207ms)
2026-07-07 15:51:23.799 [http-nio-8080-exec-6] [f7811faa] INFO  n.l.b.global.filter.LoggingFilter - [요청] GET /api-docs
2026-07-07 15:51:24.817 [http-nio-8080-exec-6] [f7811faa] INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 997 ms
2026-07-07 15:51:24.870 [http-nio-8080-exec-6] [f7811faa] INFO  n.l.b.global.filter.LoggingFilter - [응답] GET /api-docs 200 (1071ms)
2026-07-07 15:51:41.777 [http-nio-8080-exec-4] [56deda4c] INFO  n.l.b.global.filter.LoggingFilter - [요청] POST /memos
2026-07-07 15:51:41.949 [http-nio-8080-exec-4] [56deda4c] INFO  n.l.b.global.filter.LoggingFilter - [응답] POST /memos 201 (172ms)
2026-07-07 15:51:45.728 [http-nio-8080-exec-5] [a4fdbfc1] INFO  n.l.b.global.filter.LoggingFilter - [요청] GET /memos
2026-07-07 15:51:45.743 [http-nio-8080-exec-5] [a4fdbfc1] INFO  n.l.b.global.filter.LoggingFilter - [응답] GET /memos 200 (15ms)
2026-07-07 15:52:05.623 [http-nio-8080-exec-7] [07676038] INFO  n.l.b.global.filter.LoggingFilter - [요청] POST /pins
2026-07-07 15:52:05.638 [http-nio-8080-exec-7] [07676038] INFO  n.l.b.global.filter.LoggingFilter - [응답] POST /pins 201 (15ms)
2026-07-07 15:52:12.612 [http-nio-8080-exec-8] [e98297fb] INFO  n.l.b.global.filter.LoggingFilter - [요청] POST /pins
2026-07-07 15:52:12.623 [http-nio-8080-exec-8] [e98297fb] WARN  n.l.b.g.e.GlobalExceptionHandler - [BaseException] code : MEMO_NOT_FOUND, message : 메모를 찾을 수 없습니다.
2026-07-07 15:52:12.627 [http-nio-8080-exec-8] [e98297fb] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [net.likelion.backend.global.exception.BaseException: 메모를 찾을 수 없습니다.]
2026-07-07 15:52:12.628 [http-nio-8080-exec-8] [e98297fb] INFO  n.l.b.global.filter.LoggingFilter - [응답] POST /pins 404 (16ms)
2026-07-07 15:52:17.382 [http-nio-8080-exec-9] [c321f56a] INFO  n.l.b.global.filter.LoggingFilter - [요청] GET /pins
2026-07-07 15:52:17.391 [http-nio-8080-exec-9] [c321f56a] INFO  n.l.b.global.filter.LoggingFilter - [응답] GET /pins 200 (9ms)
2026-07-07 16:18:44.869 [File Watcher] [] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 24 class path changes (0 additions, 24 deletions, 0 modifications)
2026-07-07 16:18:44.875 [Thread-5] [] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-07-07 16:18:44.877 [tomcat-shutdown] [] INFO  o.a.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2026-07-07 16:18:44.889 [tomcat-shutdown] [] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-07-07 16:18:44.890 [Thread-5] [] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2026-07-07 16:18:45.063 [restartedMain] [] INFO  n.l.backend.BackendApplication - Starting BackendApplication using Java 21.0.11 with PID 16156 (C:\Users\user\Desktop\backend\backend\out\production\classes started by user in C:\Users\user\Desktop\backend\backend)
2026-07-07 16:18:45.063 [restartedMain] [] DEBUG n.l.backend.BackendApplication - Running with Spring Boot v3.5.14, Spring v6.2.18
2026-07-07 16:18:45.063 [restartedMain] [] INFO  n.l.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-07 16:18:45.587 [restartedMain] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-07 16:18:45.588 [restartedMain] [] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-07-07 16:18:45.589 [restartedMain] [] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-07-07 16:18:45.590 [restartedMain] [] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-07-07 16:18:45.644 [restartedMain] [] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-07-07 16:18:45.644 [restartedMain] [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 576 ms
2026-07-07 16:18:45.884 [restartedMain] [] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2026-07-07 16:18:45.893 [restartedMain] [] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-07-07 16:18:45.903 [restartedMain] [] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
